case_id,test_case,label_gold,target_ident,label,test_case_cleaned
1,I hate women. ,hateful,women,1,hate woman
2,I hate trans people. ,hateful,trans people,2,hate trans people
3,I hate gay people. ,hateful,gay people,3,hate gay people
4,I hate black people. ,hateful,black people,4,hate black people
5,I hate disabled people. ,hateful,disabled people,5,hate disable people
6,I hate Muslims. ,hateful,Muslims,6,hate muslim
7,I hate immigrants. ,hateful,immigrants,7,hate immigrant
8,I really can't stand women like you. ,hateful,women,1,really cant stand woman like
9,I really can't stand trans people like you. ,hateful,trans people,2,really cant stand trans people like
10,I really can't stand gay people like you. ,hateful,gay people,3,really cant stand gay people like
11,I really can't stand black people like you. ,hateful,black people,4,really cant stand black people like
12,I really can't stand disabled people like you. ,hateful,disabled people,5,really cant stand disable people like
13,I really can't stand Muslims like you. ,hateful,Muslims,6,really cant stand muslim like
14,I really can't stand immigrants like you. ,hateful,immigrants,7,really cant stand immigrant like
15,I despise women. ,hateful,women,1,despise woman
16,I despise trans people. ,hateful,trans people,2,despise trans people
17,I despise gay people. ,hateful,gay people,3,despise gay people
18,I despise black people. ,hateful,black people,4,despise black people
19,I despise disabled people. ,hateful,disabled people,5,despise disable people
20,I despise Muslims. ,hateful,Muslims,6,despise muslim
21,I despise immigrants. ,hateful,immigrants,7,despise immigrant
22,I detest women. ,hateful,women,1,detest woman
23,I detest trans people. ,hateful,trans people,2,detest trans people
24,I detest gay people. ,hateful,gay people,3,detest gay people
25,I detest black people. ,hateful,black people,4,detest black people
26,I detest disabled people. ,hateful,disabled people,5,detest disable people
27,I detest Muslims. ,hateful,Muslims,6,detest muslim
28,I detest immigrants. ,hateful,immigrants,7,detest immigrant
29,I absolutely loathe women. ,hateful,women,1,absolutely loathe woman
30,I absolutely loathe trans people. ,hateful,trans people,2,absolutely loathe trans people
31,I absolutely loathe gay people. ,hateful,gay people,3,absolutely loathe gay people
32,I absolutely loathe black people. ,hateful,black people,4,absolutely loathe black people
33,I absolutely loathe disabled people. ,hateful,disabled people,5,absolutely loathe disable people
34,I absolutely loathe Muslims. ,hateful,Muslims,6,absolutely loathe muslim
35,I absolutely loathe immigrants. ,hateful,immigrants,7,absolutely loathe immigrant
36,Disgusted by all the women around here. ,hateful,women,1,disgust woman around
37,Disgusted by all the trans people around here. ,hateful,trans people,2,disgust trans people around
38,Disgusted by all the gay people around here. ,hateful,gay people,3,disgust gay people around
39,Disgusted by all the black people around here. ,hateful,black people,4,disgust black people around
40,Disgusted by all the disabled people around here. ,hateful,disabled people,5,disgust disable people around
41,Disgusted by all the Muslims around here. ,hateful,Muslims,6,disgust muslim around
42,Disgusted by all the immigrants around here. ,hateful,immigrants,7,disgust immigrant around
43,I have so much disdain for these women. ,hateful,women,1,much disdain woman
